     0,8  1,9  2,a  3,b  4,c  5,d  6,e  7,f
00: 0000 0054 0000 c000 0000 0000 0000 0000 
08: 0000 0000 0000 0000 0000 0000 0000 0000 
10: 0000 0000 0000 0b00 0000 0000 1111 afaf 
18: afaf a7a7 9b9b 0000 4848 2828 0000 2f2f 
20: 0000 0000 2f2f 2f2f c0d4 40a4 c0d4 c0d4 
28: d1d4 8080 8a8a a2a8 aaaa aaaa 0000 0000 
30: 0000 0011 0000 0000 0000 0000 0000 0000 
38: 0000 0000 0000 0016 1000 0040 2301 6701 
40: 0003 0000 0040 2301 6745 0000 0000 0100 
48: 0000 0000 0000 0000 0000 0000 0000 0000 
50: 0525 5500 0000 0000 0000 0000 1101 6400 
58: 0eef f0f0 0eef f0f0 0eef f0f0 00f0 0000 
60: 0000 8098 061c d6ff 8002 0100 0000 000c 
68: 000e 0000 1400 0000 8a0f 0000 0000 0080 
70: 8b80 0080 0080 7417 1111 5000 0000 0000 
78: 0000 0000 030f 0130 c01e 0040 0000 0000 
80: 0040 0005 0000 0000 0000 0000 0000 0000 
88: 0000 1090 0000 0000 0000 0000 1800 0000 
90: 0000 0000 0000 0000 0000 0000 0000 0000 
98: 0c00 0000 0000 0000 8021 0a01 ea0a 0c00 
a0: 0004 0000 0000 3033 0000 0f00 2f2f 2f2f 
a8: 2f2f 2f2f 0000 0000 0000 0000 0070 0000 
b0: 00e0 0000 0000 0900 0000 0000 0000 0000 
b8: 0000 0000 0000 0000 0000 0000 0000 2f00 
c0: 0000 8041 0000 0000 0000 20b3 0000 00b3 
c8: 0000 00b3 0000 00b3 0000 00b3 0000 0000 
d0: 200f 0000 1f00 0c02 001f 0000 0000 2900 
d8: 1f00 0c02 001f 0000 0000 2900 0080 0002 
e0: 0080 0002 0000 0098 0000 0000 1008 0098 
e8: 0000 0000 1008 0098 0000 0000 1008 0098 
f0: 0000 0000 1008 0058 0000 0000 0008 0000 
f8: 0000 0000 2180 0000 0200 0100 ec10 2763 
